"","Year","Rent","PropertyType","Location.x","NumberofBedrooms","Location.y","CPI","Price.Rent.Ratio","VacancyRate","HousingStock"
"891",2009,889.44,"Apartment","Cabra, Dublin 7","All bedrooms","Cabra, Dublin 7",45.21,150.8,"0",1982000
"892",2009,902.7,"Apartment","Mulhuddart, Dublin 15","All bedrooms","Mulhuddart, Dublin 15",45.21,150.8,"0",1982000
"893",2009,902.7,"Apartment","Mulhuddart, Dublin 15","1 to 3 bed","Mulhuddart, Dublin 15",45.21,150.8,"0",1982000
"894",2009,907.29,"Apartment","Rush, Dublin","All bedrooms","Rush, Dublin",45.21,150.8,"0",1982000
"895",2009,907.29,"Apartment","Rush, Dublin","1 to 3 bed","Rush, Dublin",45.21,150.8,"0",1982000
"896",2009,907.36,"Apartment","Ballymun, Dublin 11","All bedrooms","Ballymun, Dublin 11",45.21,150.8,"0",1982000
"897",2009,922.35,"Apartment","Ballymun, Dublin 9","1 to 3 bed","Ballymun, Dublin 9",45.21,150.8,"0",1982000
"898",2009,922.35,"Apartment","Ballymun, Dublin 9","All bedrooms","Ballymun, Dublin 9",45.21,150.8,"0",1982000
"899",2009,929.05,"Apartment","Clonliffe, Dublin 3","1 to 3 bed","Clonliffe, Dublin 3",45.21,150.8,"0",1982000
"900",2009,929.05,"Apartment","Clonliffe, Dublin 3","All bedrooms","Clonliffe, Dublin 3",45.21,150.8,"0",1982000
"901",2009,942.19,"Apartment","Clonee, Dublin 15","All bedrooms","Clonee, Dublin 15",45.21,150.8,"0",1982000
"902",2009,943.44,"Apartment","Rathcoole, Dublin","1 to 3 bed","Rathcoole, Dublin",45.21,150.8,"0",1982000
"903",2009,943.44,"Apartment","Rathcoole, Dublin","All bedrooms","Rathcoole, Dublin",45.21,150.8,"0",1982000
"904",2009,946.28,"Apartment","Phibsboro, Dublin 7","All bedrooms","Phibsboro, Dublin 7",45.21,150.8,"0",1982000
"905",2009,956.27,"Apartment","Tyrrelstown, Dublin 15","All bedrooms","Tyrrelstown, Dublin 15",45.21,150.8,"0",1982000
