PropertyType,Location,Year,Rent,CPI,Price-Rent-Ratio,VacancyRate,HousingStock
Semi detached house,Dublin 7,2008,1297.71,47.33,123.4,0,1960000
Semi detached house,"Arbour Hill, Dublin 7",2008,0,47.33,123.4,0,1960000
Semi detached house,"Cabra, Dublin 7",2008,1311.02,47.33,123.4,0,1960000
Semi detached house,"Navan Road, Dublin 7",2008,1347.48,47.33,123.4,0,1960000
Semi detached house,"North Circular Road, Dublin 7",2008,0,47.33,123.4,0,1960000
Semi detached house,"Phibsboro, Dublin 7",2008,1277.99,47.33,123.4,0,1960000
Semi detached house,"Smithfield, Dublin 7",2008,0,47.33,123.4,0,1960000
Semi detached house,"Stoneybatter, Dublin 7",2008,0,47.33,123.4,0,1960000
Semi detached house,Dublin 8,2008,1304.93,47.33,123.4,0,1960000
Semi detached house,"Inchicore, Dublin 8",2008,0,47.33,123.4,0,1960000
Semi detached house,"Kilmainham , Dublin 8",2008,0,47.33,123.4,0,1960000
Semi detached house,Dublin 9,2008,1368.89,47.33,123.4,0,1960000
Semi detached house,"Beaumont, Dublin 9",2008,1336.57,47.33,123.4,0,1960000
Semi detached house,"Drumcondra, Dublin 9",2008,1397.65,47.33,123.4,0,1960000
Semi detached house,"Glasnevin, Dublin 9",2008,1491.9,47.33,123.4,0,1960000
Semi detached house,"Santry, Dublin 9",2008,1253.99,47.33,123.4,0,1960000
Semi detached house,"Whitehall, Dublin 9",2008,1380.65,47.33,123.4,0,1960000
Semi detached house,Dublin 10,2008,1184.78,47.33,123.4,0,1960000
Semi detached house,"Ballyfermot, Dublin 10",2008,1195.68,47.33,123.4,0,1960000
Semi detached house,Dublin 11,2008,1278.58,47.33,123.4,0,1960000
Semi detached house,"Finglas, Dublin 11",2008,1205.97,47.33,123.4,0,1960000
Semi detached house,"Glasnevin, Dublin 11",2008,1397.44,47.33,123.4,0,1960000
Semi detached house,Dublin 12,2008,1304.45,47.33,123.4,0,1960000
Semi detached house,"Crumlin, Dublin 12",2008,1277.7,47.33,123.4,0,1960000
Semi detached house,"Drimnagh, Dublin 12",2008,1284.34,47.33,123.4,0,1960000
Semi detached house,"Kimmage, Dublin 12",2008,1344.84,47.33,123.4,0,1960000
Semi detached house,"Walkinstown, Dublin 12",2008,1360.64,47.33,123.4,0,1960000
Semi detached house,Dublin 13,2008,1338.02,47.33,123.4,0,1960000
Semi detached house,"Baldoyle, Dublin 13",2008,1454.17,47.33,123.4,0,1960000
Semi detached house,"Donaghmede, Dublin 13",2008,1357.67,47.33,123.4,0,1960000
Semi detached house,"Sutton, Dublin 13",2008,1276.62,47.33,123.4,0,1960000
Semi detached house,Dublin 14,2008,1658.91,47.33,123.4,0,1960000
Semi detached house,"Churchtown, Dublin 14",2008,1724.48,47.33,123.4,0,1960000
Semi detached house,"Clonskeagh, Dublin 14",2008,1800.38,47.33,123.4,0,1960000
Semi detached house,"Dundrum, Dublin 14",2008,1604.9,47.33,123.4,0,1960000
Semi detached house,"Goatstown, Dublin 14",2008,1771.13,47.33,123.4,0,1960000
Semi detached house,"Rathfarnham, Dublin 14",2008,1495.56,47.33,123.4,0,1960000
Semi detached house,Dublin 15,2008,1268.4,47.33,123.4,0,1960000
Semi detached house,"Blanchardstown, Dublin 15",2008,1216.88,47.33,123.4,0,1960000
Semi detached house,"Carpenterstown, Dublin 15",2008,0,47.33,123.4,0,1960000
Semi detached house,"Castleknock, Dublin 15",2008,1298.33,47.33,123.4,0,1960000
Semi detached house,"Clonee, Dublin 15",2008,1233.29,47.33,123.4,0,1960000
Semi detached house,"Clonsilla, Dublin 15",2008,1286.55,47.33,123.4,0,1960000
Semi detached house,"Mulhuddart, Dublin 15",2008,1174.15,47.33,123.4,0,1960000
Semi detached house,"Tyrrelstown, Dublin 15",2008,1296.05,47.33,123.4,0,1960000
Semi detached house,Dublin 16,2008,1457.62,47.33,123.4,0,1960000
Semi detached house,"Ballinteer, Dublin 16",2008,1434.29,47.33,123.4,0,1960000
Semi detached house,"Dundrum, Dublin 16",2008,1628.85,47.33,123.4,0,1960000
Semi detached house,"Knocklyon, Dublin 16",2008,1425.37,47.33,123.4,0,1960000
Semi detached house,"Rathfarnham, Dublin 16",2008,1493.46,47.33,123.4,0,1960000
Semi detached house,"Sandyford, Dublin 16",2008,0,47.33,123.4,0,1960000
Semi detached house,Dublin 17,2008,1199.69,47.33,123.4,0,1960000
Semi detached house,Dublin 18,2008,1575.87,47.33,123.4,0,1960000
Semi detached house,"Cabinteely, Dublin 18",2008,1498.33,47.33,123.4,0,1960000
Semi detached house,"Foxrock, Dublin 18",2008,0,47.33,123.4,0,1960000
Semi detached house,"Leopardstown, Dublin 18",2008,1545.14,47.33,123.4,0,1960000
Semi detached house,"Sandyford, Dublin 18",2008,1572.76,47.33,123.4,0,1960000
Semi detached house,Dublin 20,2008,1252.61,47.33,123.4,0,1960000
Semi detached house,"Palmerstown, Dublin 20",2008,1243.88,47.33,123.4,0,1960000
Semi detached house,"Clondalkin, Dublin 22",2008,1182.13,47.33,123.4,0,1960000
Semi detached house,Dublin 24,2008,1259.29,47.33,123.4,0,1960000
Semi detached house,"Ballycullen, Dublin 24",2008,1410.67,47.33,123.4,0,1960000
