PropertyType,Location,Year,Rent,CPI,Price-Rent-Ratio,VacancyRate,HousingStock
Other flats,"Glasnevin, Dublin 9",2009,561.58,45.21,150.8,0,1982000
Other flats,Dublin 11,2009,0,45.21,150.8,0,1982000
Other flats,"Finglas, Dublin 11",2009,0,45.21,150.8,0,1982000
Other flats,Dublin 12,2009,696,45.21,150.8,0,1982000
Other flats,"Crumlin, Dublin 12",2009,0,45.21,150.8,0,1982000
Other flats,"Kimmage, Dublin 12",2009,0,45.21,150.8,0,1982000
Other flats,Dublin 14,2009,0,45.21,150.8,0,1982000
Detached house,Dublin,2010,1561.06,44.78,128.9,0,1992000
Detached house,"Blackrock, Dublin",2010,1794.65,44.78,128.9,0,1992000
Detached house,"Killiney, Dublin",2010,1507.08,44.78,128.9,0,1992000
Detached house,"Lucan, Dublin",2010,1301.83,44.78,128.9,0,1992000
Detached house,"Malahide, Dublin",2010,1662.5,44.78,128.9,0,1992000
Detached house,"Stillorgan, Dublin",2010,1669.63,44.78,128.9,0,1992000
Detached house,"Swords, Dublin",2010,1391.25,44.78,128.9,0,1992000
Detached house,Dublin 4,2010,2159.19,44.78,128.9,0,1992000
Detached house,"Ballsbridge, Dublin 4",2010,2140.54,44.78,128.9,0,1992000
Detached house,Dublin 5,2010,1253.82,44.78,128.9,0,1992000
Detached house,Dublin 6,2010,1919.85,44.78,128.9,0,1992000
Detached house,Dublin 7,2010,0,44.78,128.9,0,1992000
Detached house,Dublin 9,2010,1332.44,44.78,128.9,0,1992000
Detached house,Dublin 12,2010,1214.85,44.78,128.9,0,1992000
Detached house,Dublin 13,2010,1506.41,44.78,128.9,0,1992000
Detached house,Dublin 14,2010,1787.76,44.78,128.9,0,1992000
Detached house,"Rathfarnham, Dublin 14",2010,1779.03,44.78,128.9,0,1992000
Detached house,Dublin 15,2010,1222.58,44.78,128.9,0,1992000
Detached house,"Castleknock, Dublin 15",2010,1278.67,44.78,128.9,0,1992000
Detached house,"Clonsilla, Dublin 15",2010,1154.47,44.78,128.9,0,1992000
Detached house,Dublin 16,2010,1429.53,44.78,128.9,0,1992000
Detached house,Dublin 18,2010,2008.67,44.78,128.9,0,1992000
Detached house,"Foxrock, Dublin 18",2010,2119.91,44.78,128.9,0,1992000
Detached house,Dublin 24,2010,1074.26,44.78,128.9,0,1992000
Detached house,"Tallaght, Dublin 24",2010,1035,44.78,128.9,0,1992000
Semi detached house,Dublin,2010,1146.32,44.78,128.9,0,1992000
Semi detached house,"Balbriggan, Dublin",2010,876.47,44.78,128.9,0,1992000
Semi detached house,"Blackrock, Dublin",2010,1381.1,44.78,128.9,0,1992000
Semi detached house,"Booterstown, Dublin",2010,1532.63,44.78,128.9,0,1992000
Semi detached house,"Citywest, Dublin",2010,0,44.78,128.9,0,1992000
Semi detached house,"Dalkey, Dublin",2010,1468.4,44.78,128.9,0,1992000
Semi detached house,"Donabate, Dublin",2010,1033.53,44.78,128.9,0,1992000
Semi detached house,"Dun Laoghaire, Dublin",2010,1261.31,44.78,128.9,0,1992000
Semi detached house,"Glenageary, Dublin",2010,1448.06,44.78,128.9,0,1992000
Semi detached house,"Killiney, Dublin",2010,1252.45,44.78,128.9,0,1992000
Semi detached house,"Kinsealy, Dublin",2010,1040.96,44.78,128.9,0,1992000
Semi detached house,"Lucan, Dublin",2010,1046.38,44.78,128.9,0,1992000
Semi detached house,"Lusk, Dublin",2010,983.85,44.78,128.9,0,1992000
Semi detached house,"Malahide, Dublin",2010,1361.85,44.78,128.9,0,1992000
Semi detached house,"Monkstown, Dublin",2010,1113.1,44.78,128.9,0,1992000
Semi detached house,"Mount Merrion, Dublin",2010,1791.43,44.78,128.9,0,1992000
Semi detached house,"Portmarnock, Dublin",2010,1164,44.78,128.9,0,1992000
Semi detached house,"Rathcoole, Dublin",2010,1035.26,44.78,128.9,0,1992000
Semi detached house,"Rush, Dublin",2010,977.53,44.78,128.9,0,1992000
Semi detached house,"Saggart, Dublin",2010,1131.67,44.78,128.9,0,1992000
Semi detached house,"Sandycove, Dublin",2010,1300.83,44.78,128.9,0,1992000
Semi detached house,"Shankill, Dublin",2010,1196.6,44.78,128.9,0,1992000
Semi detached house,"Skerries, Dublin",2010,988.99,44.78,128.9,0,1992000
Semi detached house,"Stepaside, Dublin",2010,0,44.78,128.9,0,1992000
Semi detached house,"Stillorgan, Dublin",2010,1393.92,44.78,128.9,0,1992000
Semi detached house,"Swords, Dublin",2010,1062.49,44.78,128.9,0,1992000
Semi detached house,Dublin 1,2010,1101.28,44.78,128.9,0,1992000
Semi detached house,Dublin 3,2010,1191.83,44.78,128.9,0,1992000
Semi detached house,"Clonliffe, Dublin 3",2010,0,44.78,128.9,0,1992000
Semi detached house,"Clontarf, Dublin 3",2010,1377.49,44.78,128.9,0,1992000
Semi detached house,"Drumcondra, Dublin 3",2010,0,44.78,128.9,0,1992000
Semi detached house,"East Wall, Dublin 3",2010,991.69,44.78,128.9,0,1992000
Semi detached house,"Eastwall, Dublin 3",2010,0,44.78,128.9,0,1992000
Semi detached house,"Fairview, Dublin 3",2010,1135.21,44.78,128.9,0,1992000
Semi detached house,"Marino, Dublin 3",2010,1172.78,44.78,128.9,0,1992000
Semi detached house,"North Strand, Dublin 3",2010,0,44.78,128.9,0,1992000
Semi detached house,Dublin 4,2010,1739.21,44.78,128.9,0,1992000
Semi detached house,"Ballsbridge, Dublin 4",2010,1809.45,44.78,128.9,0,1992000
Semi detached house,"Donnybrook, Dublin 4",2010,1651.52,44.78,128.9,0,1992000
Semi detached house,"Ringsend, Dublin 4",2010,1174.44,44.78,128.9,0,1992000
Semi detached house,"Sandymount, Dublin 4",2010,1839.91,44.78,128.9,0,1992000
Semi detached house,Dublin 5,2010,1114.68,44.78,128.9,0,1992000
Semi detached house,"Artane, Dublin 5",2010,1135.33,44.78,128.9,0,1992000
Semi detached house,"Killester, Dublin 5",2010,1138.77,44.78,128.9,0,1992000
Semi detached house,"Raheny, Dublin 5",2010,1131.19,44.78,128.9,0,1992000
Semi detached house,Dublin 6,2010,1438.11,44.78,128.9,0,1992000
Semi detached house,"Harolds Cross, Dublin 6",2010,1220.83,44.78,128.9,0,1992000
Semi detached house,"Milltown, Dublin 6",2010,1427.5,44.78,128.9,0,1992000
Semi detached house,"Ranelagh, Dublin 6",2010,1518.91,44.78,128.9,0,1992000
Semi detached house,"Rathgar, Dublin 6",2010,1493.3,44.78,128.9,0,1992000
Semi detached house,"Rathmines, Dublin 6",2010,1339.83,44.78,128.9,0,1992000
Semi detached house,"Terenure, Dublin 6",2010,1391.67,44.78,128.9,0,1992000
Semi detached house,Dublin 6W,2010,1325.86,44.78,128.9,0,1992000
Semi detached house,"Harolds Cross, Dublin 6W",2010,1310.14,44.78,128.9,0,1992000
Semi detached house,"Templeogue, Dublin 6W",2010,1237.62,44.78,128.9,0,1992000
Semi detached house,"Terenure, Dublin 6W",2010,1414.13,44.78,128.9,0,1992000
Semi detached house,Dublin 7,2010,1100.95,44.78,128.9,0,1992000
Semi detached house,"Arbour Hill, Dublin 7",2010,0,44.78,128.9,0,1992000
Semi detached house,"Cabra, Dublin 7",2010,1047.64,44.78,128.9,0,1992000
Semi detached house,"Navan Road, Dublin 7",2010,1171.71,44.78,128.9,0,1992000
Semi detached house,"North Circular Road, Dublin 7",2010,0,44.78,128.9,0,1992000
Semi detached house,"Phibsboro, Dublin 7",2010,1176.59,44.78,128.9,0,1992000
Semi detached house,"Smithfield, Dublin 7",2010,0,44.78,128.9,0,1992000
Semi detached house,"Stoneybatter, Dublin 7",2010,1016.93,44.78,128.9,0,1992000
Semi detached house,Dublin 8,2010,1148.38,44.78,128.9,0,1992000
Semi detached house,"Inchicore, Dublin 8",2010,1074.19,44.78,128.9,0,1992000
Semi detached house,"Kilmainham , Dublin 8",2010,1226.25,44.78,128.9,0,1992000
Semi detached house,Dublin 9,2010,1148.55,44.78,128.9,0,1992000
Semi detached house,"Beaumont, Dublin 9",2010,1111.05,44.78,128.9,0,1992000
Semi detached house,"Drumcondra, Dublin 9",2010,1193.15,44.78,128.9,0,1992000
Semi detached house,"Glasnevin, Dublin 9",2010,1242.8,44.78,128.9,0,1992000
Semi detached house,"Santry, Dublin 9",2010,1079.84,44.78,128.9,0,1992000
Semi detached house,"Whitehall, Dublin 9",2010,1122.81,44.78,128.9,0,1992000
Semi detached house,Dublin 10,2010,1000.06,44.78,128.9,0,1992000
Semi detached house,"Ballyfermot, Dublin 10",2010,996.51,44.78,128.9,0,1992000
Semi detached house,Dublin 11,2010,1068.69,44.78,128.9,0,1992000
Semi detached house,"Finglas, Dublin 11",2010,1004.96,44.78,128.9,0,1992000
Semi detached house,"Glasnevin, Dublin 11",2010,1176.49,44.78,128.9,0,1992000
Semi detached house,Dublin 12,2010,1049.97,44.78,128.9,0,1992000
Semi detached house,"Crumlin, Dublin 12",2010,1012.6,44.78,128.9,0,1992000
Semi detached house,"Drimnagh, Dublin 12",2010,1028.14,44.78,128.9,0,1992000
Semi detached house,"Kimmage, Dublin 12",2010,1106.81,44.78,128.9,0,1992000
Semi detached house,"Walkinstown, Dublin 12",2010,1082.05,44.78,128.9,0,1992000
Semi detached house,Dublin 13,2010,1118.4,44.78,128.9,0,1992000
Semi detached house,"Baldoyle, Dublin 13",2010,1176.52,44.78,128.9,0,1992000
Semi detached house,"Donaghmede, Dublin 13",2010,1074.33,44.78,128.9,0,1992000
Semi detached house,"Sutton, Dublin 13",2010,1152.05,44.78,128.9,0,1992000
Semi detached house,Dublin 14,2010,1437.86,44.78,128.9,0,1992000
Semi detached house,"Churchtown, Dublin 14",2010,1376.86,44.78,128.9,0,1992000
Semi detached house,"Clonskeagh, Dublin 14",2010,1566.82,44.78,128.9,0,1992000
Semi detached house,"Dundrum, Dublin 14",2010,1370.45,44.78,128.9,0,1992000
Semi detached house,"Goatstown, Dublin 14",2010,1654.36,44.78,128.9,0,1992000
Semi detached house,"Rathfarnham, Dublin 14",2010,1296.85,44.78,128.9,0,1992000
Semi detached house,Dublin 15,2010,1056.61,44.78,128.9,0,1992000
Semi detached house,"Blanchardstown, Dublin 15",2010,1021.31,44.78,128.9,0,1992000
Semi detached house,"Carpenterstown, Dublin 15",2010,1106.03,44.78,128.9,0,1992000
Semi detached house,"Castleknock, Dublin 15",2010,1110.47,44.78,128.9,0,1992000
Semi detached house,"Clonee, Dublin 15",2010,1055.39,44.78,128.9,0,1992000
Semi detached house,"Clonsilla, Dublin 15",2010,1043.7,44.78,128.9,0,1992000
Semi detached house,"Mulhuddart, Dublin 15",2010,989.12,44.78,128.9,0,1992000
Semi detached house,"Tyrrelstown, Dublin 15",2010,1045.27,44.78,128.9,0,1992000
Semi detached house,Dublin 16,2010,1229.98,44.78,128.9,0,1992000
Semi detached house,"Ballinteer, Dublin 16",2010,1226.98,44.78,128.9,0,1992000
Semi detached house,"Dundrum, Dublin 16",2010,1437.36,44.78,128.9,0,1992000
Semi detached house,"Knocklyon, Dublin 16",2010,1166.04,44.78,128.9,0,1992000
Semi detached house,"Rathfarnham, Dublin 16",2010,1229.31,44.78,128.9,0,1992000
Semi detached house,"Sandyford, Dublin 16",2010,1258.74,44.78,128.9,0,1992000
Semi detached house,Dublin 17,2010,1067.24,44.78,128.9,0,1992000
Semi detached house,Dublin 18,2010,1333,44.78,128.9,0,1992000
Semi detached house,"Cabinteely, Dublin 18",2010,1255.37,44.78,128.9,0,1992000
Semi detached house,"Foxrock, Dublin 18",2010,1532.5,44.78,128.9,0,1992000
Semi detached house,"Leopardstown, Dublin 18",2010,1283.08,44.78,128.9,0,1992000
Semi detached house,"Sandyford, Dublin 18",2010,1276.49,44.78,128.9,0,1992000
Semi detached house,Dublin 20,2010,1072.19,44.78,128.9,0,1992000
Semi detached house,"Palmerstown, Dublin 20",2010,1065.27,44.78,128.9,0,1992000
Semi detached house,"Clondalkin, Dublin 22",2010,977.8,44.78,128.9,0,1992000
Semi detached house,Dublin 24,2010,1040.18,44.78,128.9,0,1992000
Semi detached house,"Ballycullen, Dublin 24",2010,1153.36,44.78,128.9,0,1992000
Semi detached house,"Firhouse, Dublin 24",2010,1105.62,44.78,128.9,0,1992000
Semi detached house,"Tallaght, Dublin 24",2010,1017.21,44.78,128.9,0,1992000
Terrace house,Dublin,2010,1055.41,44.78,128.9,0,1992000
Terrace house,"Balbriggan, Dublin",2010,841.45,44.78,128.9,0,1992000
Terrace house,"Blackrock, Dublin",2010,1290.69,44.78,128.9,0,1992000
Terrace house,"Booterstown, Dublin",2010,1292.05,44.78,128.9,0,1992000
Terrace house,"Dalkey, Dublin",2010,1355.47,44.78,128.9,0,1992000
Terrace house,"Dun Laoghaire, Dublin",2010,1141.78,44.78,128.9,0,1992000
Terrace house,"Killiney, Dublin",2010,1058.61,44.78,128.9,0,1992000
Terrace house,"Lucan, Dublin",2010,990.35,44.78,128.9,0,1992000
Terrace house,"Lusk, Dublin",2010,894.19,44.78,128.9,0,1992000
Terrace house,"Malahide, Dublin",2010,1293.94,44.78,128.9,0,1992000
Terrace house,"Monkstown, Dublin",2010,1173.28,44.78,128.9,0,1992000
Terrace house,"Rush, Dublin",2010,949,44.78,128.9,0,1992000
Terrace house,"Saggart, Dublin",2010,0,44.78,128.9,0,1992000
Terrace house,"Sandycove, Dublin",2010,0,44.78,128.9,0,1992000
Terrace house,"Shankill, Dublin",2010,0,44.78,128.9,0,1992000
Terrace house,"Skerries, Dublin",2010,951.07,44.78,128.9,0,1992000
Terrace house,"Stillorgan, Dublin",2010,1326.23,44.78,128.9,0,1992000
Terrace house,"Swords, Dublin",2010,990.76,44.78,128.9,0,1992000
Terrace house,Dublin 1,2010,1090.17,44.78,128.9,0,1992000
Terrace house,Dublin 2,2010,1590.14,44.78,128.9,0,1992000
Terrace house,Dublin 3,2010,1058.64,44.78,128.9,0,1992000
Terrace house,"Clonliffe, Dublin 3",2010,0,44.78,128.9,0,1992000
Terrace house,"Clontarf, Dublin 3",2010,1236.96,44.78,128.9,0,1992000
Terrace house,"Drumcondra, Dublin 3",2010,1139.41,44.78,128.9,0,1992000
Terrace house,"East Wall, Dublin 3",2010,956.97,44.78,128.9,0,1992000
Terrace house,"Eastwall, Dublin 3",2010,921.2,44.78,128.9,0,1992000
Terrace house,"Fairview, Dublin 3",2010,1066.47,44.78,128.9,0,1992000
Terrace house,"Marino, Dublin 3",2010,1111.08,44.78,128.9,0,1992000
Terrace house,"North Strand, Dublin 3",2010,977.27,44.78,128.9,0,1992000
Terrace house,Dublin 4,2010,1438.2,44.78,128.9,0,1992000
Terrace house,"Ballsbridge, Dublin 4",2010,1645.57,44.78,128.9,0,1992000
Terrace house,"Donnybrook, Dublin 4",2010,1451.68,44.78,128.9,0,1992000
Terrace house,"Irishtown, Dublin 4",2010,0,44.78,128.9,0,1992000
Terrace house,"Ringsend, Dublin 4",2010,1165.04,44.78,128.9,0,1992000
Terrace house,"Sandymount, Dublin 4",2010,1436.19,44.78,128.9,0,1992000
Terrace house,Dublin 5,2010,1089.32,44.78,128.9,0,1992000
Terrace house,"Artane, Dublin 5",2010,1117.37,44.78,128.9,0,1992000
Terrace house,"Killester, Dublin 5",2010,0,44.78,128.9,0,1992000
Terrace house,"Raheny, Dublin 5",2010,1122.69,44.78,128.9,0,1992000
Terrace house,Dublin 6,2010,1416.75,44.78,128.9,0,1992000
Terrace house,"Harolds Cross, Dublin 6",2010,1152.99,44.78,128.9,0,1992000
Terrace house,"Milltown, Dublin 6",2010,1334.13,44.78,128.9,0,1992000
Terrace house,"Ranelagh, Dublin 6",2010,1594.55,44.78,128.9,0,1992000
Terrace house,"Rathgar, Dublin 6",2010,1348.07,44.78,128.9,0,1992000
Terrace house,"Rathmines, Dublin 6",2010,1376.7,44.78,128.9,0,1992000
Terrace house,"Terenure, Dublin 6",2010,0,44.78,128.9,0,1992000
Terrace house,Dublin 6W,2010,1242.3,44.78,128.9,0,1992000
Terrace house,"Harolds Cross, Dublin 6W",2010,1222.85,44.78,128.9,0,1992000
Terrace house,"Terenure, Dublin 6W",2010,1321.71,44.78,128.9,0,1992000
Terrace house,Dublin 7,2010,1048.6,44.78,128.9,0,1992000
Terrace house,"Arbour Hill, Dublin 7",2010,1072.57,44.78,128.9,0,1992000
Terrace house,"Cabra, Dublin 7",2010,1009.42,44.78,128.9,0,1992000
Terrace house,"Navan Road, Dublin 7",2010,1160.4,44.78,128.9,0,1992000
Terrace house,"North Circular Road, Dublin 7",2010,1070.39,44.78,128.9,0,1992000
Terrace house,"Phibsboro, Dublin 7",2010,1109.16,44.78,128.9,0,1992000
Terrace house,"Smithfield, Dublin 7",2010,0,44.78,128.9,0,1992000
Terrace house,"Stoneybatter, Dublin 7",2010,1001.72,44.78,128.9,0,1992000
Terrace house,Dublin 8,2010,1072.5,44.78,128.9,0,1992000
Terrace house,"Inchicore, Dublin 8",2010,979.15,44.78,128.9,0,1992000
Terrace house,"Kilmainham , Dublin 8",2010,1055.92,44.78,128.9,0,1992000
Terrace house,"Portobello, Dublin 8",2010,1263.72,44.78,128.9,0,1992000
Terrace house,"Rialto, Dublin 8",2010,963.18,44.78,128.9,0,1992000
Terrace house,"South Circular Road, Dublin 8",2010,1245.96,44.78,128.9,0,1992000
Terrace house,"The Coombe, Dublin 8",2010,0,44.78,128.9,0,1992000
Terrace house,Dublin 9,2010,1108.47,44.78,128.9,0,1992000
Terrace house,"Beaumont, Dublin 9",2010,1025.63,44.78,128.9,0,1992000
Terrace house,"Drumcondra, Dublin 9",2010,1153.49,44.78,128.9,0,1992000
Terrace house,"Glasnevin, Dublin 9",2010,1170.07,44.78,128.9,0,1992000
Terrace house,"Santry, Dublin 9",2010,1062.21,44.78,128.9,0,1992000
Terrace house,"Whitehall, Dublin 9",2010,1037.25,44.78,128.9,0,1992000
Terrace house,Dublin 10,2010,943.93,44.78,128.9,0,1992000
Terrace house,"Ballyfermot, Dublin 10",2010,956.17,44.78,128.9,0,1992000
Terrace house,Dublin 11,2010,1026.57,44.78,128.9,0,1992000
Terrace house,"Finglas, Dublin 11",2010,1003.79,44.78,128.9,0,1992000
Terrace house,"Glasnevin, Dublin 11",2010,1114.33,44.78,128.9,0,1992000
Terrace house,Dublin 12,2010,1023.28,44.78,128.9,0,1992000
Terrace house,"Crumlin, Dublin 12",2010,988.62,44.78,128.9,0,1992000
Terrace house,"Drimnagh, Dublin 12",2010,998.42,44.78,128.9,0,1992000
Terrace house,"Kimmage, Dublin 12",2010,1041.67,44.78,128.9,0,1992000
Terrace house,"Walkinstown, Dublin 12",2010,1068.63,44.78,128.9,0,1992000
Terrace house,Dublin 13,2010,1057.31,44.78,128.9,0,1992000
Terrace house,"Baldoyle, Dublin 13",2010,1058.56,44.78,128.9,0,1992000
Terrace house,"Balgriffin, Dublin 13",2010,0,44.78,128.9,0,1992000
Terrace house,"Clongriffin, Dublin 13",2010,0,44.78,128.9,0,1992000
Terrace house,"Sutton, Dublin 13",2010,966.72,44.78,128.9,0,1992000
Terrace house,Dublin 14,2010,1274.29,44.78,128.9,0,1992000
Terrace house,"Churchtown, Dublin 14",2010,1368.88,44.78,128.9,0,1992000
Terrace house,"Clonskeagh, Dublin 14",2010,1380.71,44.78,128.9,0,1992000
Terrace house,"Dundrum, Dublin 14",2010,1284.88,44.78,128.9,0,1992000
Terrace house,"Rathfarnham, Dublin 14",2010,1128.84,44.78,128.9,0,1992000
Terrace house,Dublin 15,2010,1010.92,44.78,128.9,0,1992000
Terrace house,"Blanchardstown, Dublin 15",2010,991.38,44.78,128.9,0,1992000
Terrace house,"Castleknock, Dublin 15",2010,1035,44.78,128.9,0,1992000
Terrace house,"Clonee, Dublin 15",2010,948.36,44.78,128.9,0,1992000
Terrace house,"Clonsilla, Dublin 15",2010,961.15,44.78,128.9,0,1992000
Terrace house,"Mulhuddart, Dublin 15",2010,941.82,44.78,128.9,0,1992000
Terrace house,"Ongar, Dublin 15",2010,998.33,44.78,128.9,0,1992000
Terrace house,"Tyrrelstown, Dublin 15",2010,1063.54,44.78,128.9,0,1992000
Terrace house,Dublin 16,2010,1154.38,44.78,128.9,0,1992000
Terrace house,"Rathfarnham, Dublin 16",2010,1148.79,44.78,128.9,0,1992000
Terrace house,Dublin 17,2010,1171.13,44.78,128.9,0,1992000
Terrace house,Dublin 18,2010,1280.21,44.78,128.9,0,1992000
Terrace house,"Foxrock, Dublin 18",2010,1348.92,44.78,128.9,0,1992000
Terrace house,"Sandyford, Dublin 18",2010,0,44.78,128.9,0,1992000
Terrace house,"Stepaside, Dublin 18",2010,0,44.78,128.9,0,1992000
Terrace house,Dublin 20,2010,998.92,44.78,128.9,0,1992000
Terrace house,"Chapelizod, Dublin 20",2010,989.34,44.78,128.9,0,1992000
Terrace house,"Palmerstown, Dublin 20",2010,1039.62,44.78,128.9,0,1992000
Terrace house,"Clondalkin, Dublin 22",2010,965.31,44.78,128.9,0,1992000
Terrace house,Dublin 24,2010,1010.35,44.78,128.9,0,1992000
Terrace house,"Firhouse, Dublin 24",2010,1023.82,44.78,128.9,0,1992000
Terrace house,"Tallaght, Dublin 24",2010,993.11,44.78,128.9,0,1992000
Apartment,Dublin,2010,997.28,44.78,128.9,0,1992000
Apartment,"Balbriggan, Dublin",2010,726.09,44.78,128.9,0,1992000
Apartment,"Blackrock, Dublin",2010,1118.91,44.78,128.9,0,1992000
Apartment,"Booterstown, Dublin",2010,1161.05,44.78,128.9,0,1992000
Apartment,"Cabinteely, Dublin",2010,1041.44,44.78,128.9,0,1992000
Apartment,"Citywest, Dublin",2010,909.17,44.78,128.9,0,1992000
Apartment,"Dalkey, Dublin",2010,1288.75,44.78,128.9,0,1992000
Apartment,"Donabate, Dublin",2010,763.95,44.78,128.9,0,1992000
Apartment,"Dun Laoghaire, Dublin",2010,1105.16,44.78,128.9,0,1992000
Apartment,"Howth, Dublin",2010,1160.11,44.78,128.9,0,1992000
Apartment,"Killiney, Dublin",2010,1328.3,44.78,128.9,0,1992000
Apartment,"Kinsealy, Dublin",2010,926.35,44.78,128.9,0,1992000
Apartment,"Lucan, Dublin",2010,891.61,44.78,128.9,0,1992000
Apartment,"Lusk, Dublin",2010,0,44.78,128.9,0,1992000
Apartment,"Malahide, Dublin",2010,1120.35,44.78,128.9,0,1992000
Apartment,"Monkstown, Dublin",2010,986.1,44.78,128.9,0,1992000
Apartment,"Mount Merrion, Dublin",2010,1225.6,44.78,128.9,0,1992000
Apartment,"Portmarnock, Dublin",2010,977.45,44.78,128.9,0,1992000
Apartment,"Rathcoole, Dublin",2010,849.05,44.78,128.9,0,1992000
Apartment,"Rush, Dublin",2010,800.13,44.78,128.9,0,1992000
Apartment,"Saggart, Dublin",2010,947.49,44.78,128.9,0,1992000
Apartment,"Sandycove, Dublin",2010,1021.89,44.78,128.9,0,1992000
Apartment,"Shankill, Dublin",2010,985.19,44.78,128.9,0,1992000
Apartment,"Skerries, Dublin",2010,864.75,44.78,128.9,0,1992000
Apartment,"Stepaside, Dublin",2010,1008.21,44.78,128.9,0,1992000
Apartment,"Stillorgan, Dublin",2010,1178.45,44.78,128.9,0,1992000
Apartment,"Swords, Dublin",2010,889.63,44.78,128.9,0,1992000
Apartment,Dublin 1,2010,1013.71,44.78,128.9,0,1992000
Apartment,"I.F.S.C., Dublin 1",2010,1155.33,44.78,128.9,0,1992000
Apartment,"Parnell Street, Dublin 1",2010,1092.15,44.78,128.9,0,1992000
Apartment,"Spencer Dock, Dublin 1",2010,1326.58,44.78,128.9,0,1992000
Apartment,"Summerhill, Dublin 1",2010,1073.27,44.78,128.9,0,1992000
Apartment,Dublin 2,2010,1175.17,44.78,128.9,0,1992000
Apartment,"Aungier Street, Dublin 2",2010,913.24,44.78,128.9,0,1992000
Apartment,"Charlemont Street, Dublin 2",2010,1269.74,44.78,128.9,0,1992000
Apartment,"Grand Canal Dock, Dublin 2",2010,1517.35,44.78,128.9,0,1992000
Apartment,"Grand Canal Square, Dublin 2",2010,1514.62,44.78,128.9,0,1992000
Apartment,"Hanover Quay, Dublin 2",2010,1750.93,44.78,128.9,0,1992000
Apartment,"Lower Mount Street, Dublin 2",2010,1043.08,44.78,128.9,0,1992000
Apartment,"Pearse Street, Dublin 2",2010,1065.92,44.78,128.9,0,1992000
Apartment,"Tara Street, Dublin 2",2010,1013.33,44.78,128.9,0,1992000
Apartment,"Temple Bar, Dublin 2",2010,1143.09,44.78,128.9,0,1992000
Apartment,"Townsend Street, Dublin 2",2010,1087.92,44.78,128.9,0,1992000
Apartment,Dublin 3,2010,990.85,44.78,128.9,0,1992000
Apartment,"Clonliffe, Dublin 3",2010,890.95,44.78,128.9,0,1992000
Apartment,"Clontarf, Dublin 3",2010,1000.65,44.78,128.9,0,1992000
Apartment,"Drumcondra, Dublin 3",2010,0,44.78,128.9,0,1992000
Apartment,"East Wall, Dublin 3",2010,959.25,44.78,128.9,0,1992000
Apartment,"Eastwall, Dublin 3",2010,0,44.78,128.9,0,1992000
Apartment,"Fairview, Dublin 3",2010,996.24,44.78,128.9,0,1992000
Apartment,"Marino, Dublin 3",2010,0,44.78,128.9,0,1992000
Apartment,"North Strand, Dublin 3",2010,0,44.78,128.9,0,1992000
Apartment,Dublin 4,2010,1209.67,44.78,128.9,0,1992000
Apartment,"Ballsbridge, Dublin 4",2010,1288.63,44.78,128.9,0,1992000
Apartment,"Donnybrook, Dublin 4",2010,1197.87,44.78,128.9,0,1992000
Apartment,"Irishtown, Dublin 4",2010,0,44.78,128.9,0,1992000
Apartment,"Merrion, Dublin 4",2010,1214.84,44.78,128.9,0,1992000
Apartment,"Pembroke, Dublin 4",2010,1190.87,44.78,128.9,0,1992000
Apartment,"Ringsend, Dublin 4",2010,1152.76,44.78,128.9,0,1992000
Apartment,"Sandymount, Dublin 4",2010,1246.2,44.78,128.9,0,1992000
Apartment,Dublin 5,2010,958.61,44.78,128.9,0,1992000
Apartment,"Artane, Dublin 5",2010,978.66,44.78,128.9,0,1992000
Apartment,"Killester, Dublin 5",2010,877.66,44.78,128.9,0,1992000
Apartment,"Raheny, Dublin 5",2010,992.63,44.78,128.9,0,1992000
Apartment,Dublin 6,2010,996.72,44.78,128.9,0,1992000
Apartment,"Dartry, Dublin 6",2010,1117.38,44.78,128.9,0,1992000
Apartment,"Harolds Cross, Dublin 6",2010,915.07,44.78,128.9,0,1992000
Apartment,"Milltown, Dublin 6",2010,1203.13,44.78,128.9,0,1992000
Apartment,"Ranelagh, Dublin 6",2010,972.85,44.78,128.9,0,1992000
Apartment,"Rathgar, Dublin 6",2010,899.38,44.78,128.9,0,1992000
Apartment,"Rathmines, Dublin 6",2010,958.92,44.78,128.9,0,1992000
Apartment,"Terenure, Dublin 6",2010,1036.98,44.78,128.9,0,1992000
Apartment,Dublin 6W,2010,1034.04,44.78,128.9,0,1992000
Apartment,"Harolds Cross, Dublin 6W",2010,875.44,44.78,128.9,0,1992000
Apartment,"Templeogue, Dublin 6W",2010,1088.33,44.78,128.9,0,1992000
Apartment,"Terenure, Dublin 6W",2010,1173.38,44.78,128.9,0,1992000
Apartment,Dublin 7,2010,946.03,44.78,128.9,0,1992000
Apartment,"Arbour Hill, Dublin 7",2010,0,44.78,128.9,0,1992000
Apartment,"Cabra, Dublin 7",2010,814.78,44.78,128.9,0,1992000
Apartment,"Navan Road, Dublin 7",2010,953.2,44.78,128.9,0,1992000
Apartment,"North Circular Road, Dublin 7",2010,984.7,44.78,128.9,0,1992000
Apartment,"Phibsboro, Dublin 7",2010,862.78,44.78,128.9,0,1992000
Apartment,"Smithfield, Dublin 7",2010,1104.02,44.78,128.9,0,1992000
Apartment,"Stoneybatter, Dublin 7",2010,927.25,44.78,128.9,0,1992000
Apartment,Dublin 8,2010,958.22,44.78,128.9,0,1992000
Apartment,"Christchurch, Dublin 8",2010,933.96,44.78,128.9,0,1992000
