PropertyType,NumberofRoom,Location,2008,2009,2010,2011,2012,2013,2014,2015
Detached house,Four plus bed,"Sandymount, Dublin 4",0,0,0,0,0,0,0,0
Detached house,Four plus bed,Dublin 5,0,0,0,0,0,0,0,0
Detached house,Four plus bed,"Artane, Dublin 5",0,0,0,0,0,0,0,0
Detached house,Four plus bed,"Killester, Dublin 5",0,0,0,0,0,0,0,0
Detached house,Four plus bed,"Raheny, Dublin 5",0,0,0,0,0,0,0,0
Detached house,Four plus bed,Dublin 6,0,0,0,0,0,0,0,0
Detached house,Four plus bed,"Dartry, Dublin 6",0,0,0,0,0,0,0,0
Detached house,Four plus bed,"Harolds Cross, Dublin 6",0,0,0,0,0,0,0,0
Detached house,Four plus bed,"Milltown, Dublin 6",0,0,0,0,0,0,0,0
Detached house,Four plus bed,"Ranelagh, Dublin 6",0,0,0,0,0,0,0,0
Detached house,Four plus bed,"Rathgar, Dublin 6",0,0,0,0,0,0,0,0
Detached house,Four plus bed,"Rathmines, Dublin 6",0,0,0,0,0,0,0,0
Detached house,Four plus bed,"Terenure, Dublin 6",0,0,0,0,0,0,0,0
Detached house,Four plus bed,Dublin 6W,0,0,0,0,0,0,0,0
Detached house,Four plus bed,"Harolds Cross, Dublin 6W",0,0,0,0,0,0,0,0
Detached house,Four plus bed,"Templeogue, Dublin 6W",0,0,0,0,0,0,0,0
Detached house,Four plus bed,"Terenure, Dublin 6W",0,0,0,0,0,0,0,0
Detached house,Four plus bed,Dublin 7,0,0,0,0,0,0,0,0
Detached house,Four plus bed,"Arbour Hill, Dublin 7",0,0,0,0,0,0,0,0
Detached house,Four plus bed,"Cabra, Dublin 7",0,0,0,0,0,0,0,0
Detached house,Four plus bed,"Navan Road, Dublin 7",0,0,0,0,0,0,0,0
Detached house,Four plus bed,"North Circular Road, Dublin 7",0,0,0,0,0,0,0,0
Detached house,Four plus bed,"Phibsboro, Dublin 7",0,0,0,0,0,0,0,0
Detached house,Four plus bed,"Smithfield, Dublin 7",0,0,0,0,0,0,0,0
Detached house,Four plus bed,"Stoneybatter, Dublin 7",0,0,0,0,0,0,0,0
Detached house,Four plus bed,Dublin 8,0,0,0,0,0,0,0,0
Detached house,Four plus bed,"Christchurch, Dublin 8",0,0,0,0,0,0,0,0
Detached house,Four plus bed,"Cork Street, Dublin 8",0,0,0,0,0,0,0,0
Detached house,Four plus bed,"Dolphins Barn, Dublin 8",0,0,0,0,0,0,0,0
Detached house,Four plus bed,"Inchicore, Dublin 8",0,0,0,0,0,0,0,0
Detached house,Four plus bed,"Islandbridge, Dublin 8",0,0,0,0,0,0,0,0
Detached house,Four plus bed,"Kilmainham , Dublin 8",0,0,0,0,0,0,0,0
Detached house,Four plus bed,"Portobello, Dublin 8",0,0,0,0,0,0,0,0
Detached house,Four plus bed,"Rialto, Dublin 8",0,0,0,0,0,0,0,0
Detached house,Four plus bed,"South Circular Road, Dublin 8",0,0,0,0,0,0,0,0
Detached house,Four plus bed,"The Coombe, Dublin 8",0,0,0,0,0,0,0,0
Detached house,Four plus bed,Dublin 9,0,0,0,0,0,0,0,0
Detached house,Four plus bed,"Ballymun, Dublin 9",0,0,0,0,0,0,0,0
Detached house,Four plus bed,"Beaumont, Dublin 9",0,0,0,0,0,0,0,0
Detached house,Four plus bed,"Drumcondra, Dublin 9",0,0,0,0,0,0,0,0
Detached house,Four plus bed,"Glasnevin, Dublin 9",0,0,0,0,0,0,0,0
Detached house,Four plus bed,"Santry, Dublin 9",0,0,0,0,0,0,0,0
Detached house,Four plus bed,"Whitehall, Dublin 9",0,0,0,0,0,0,0,0
Detached house,Four plus bed,Dublin 10,0,0,0,0,0,0,0,0
Detached house,Four plus bed,"Ballyfermot, Dublin 10",0,0,0,0,0,0,0,0
Detached house,Four plus bed,"Cherry Orchard, Dublin 10",0,0,0,0,0,0,0,0
Detached house,Four plus bed,Dublin 11,0,0,0,0,0,0,0,0
Detached house,Four plus bed,"Ballymun, Dublin 11",0,0,0,0,0,0,0,0
Detached house,Four plus bed,"Finglas, Dublin 11",0,0,0,0,0,0,0,0
Detached house,Four plus bed,"Glasnevin, Dublin 11",0,0,0,0,0,0,0,0
Detached house,Four plus bed,"Meakstown, Dublin 11",0,0,0,0,0,0,0,0
Detached house,Four plus bed,"St Margarets Road, Dublin 11",0,0,0,0,0,0,0,0
Detached house,Four plus bed,Dublin 12,0,0,0,0,0,0,0,0
Detached house,Four plus bed,"Crumlin, Dublin 12",0,0,0,0,0,0,0,0
Detached house,Four plus bed,"Drimnagh, Dublin 12",0,0,0,0,0,0,0,0
Detached house,Four plus bed,"Kimmage, Dublin 12",0,0,0,0,0,0,0,0
Detached house,Four plus bed,"Walkinstown, Dublin 12",0,0,0,0,0,0,0,0
Detached house,Four plus bed,Dublin 13,0,0,0,0,0,0,0,0
Detached house,Four plus bed,"Baldoyle, Dublin 13",0,0,0,0,0,0,0,0
Detached house,Four plus bed,"Balgriffin, Dublin 13",0,0,0,0,0,0,0,0
Detached house,Four plus bed,"Clongriffin, Dublin 13",0,0,0,0,0,0,0,0
Detached house,Four plus bed,"Donaghmede, Dublin 13",0,0,0,0,0,0,0,0
Detached house,Four plus bed,"Sutton, Dublin 13",0,0,0,0,0,0,0,0
Detached house,Four plus bed,Dublin 14,1980.88,1904.42,1825.83,1798.1,1865.88,1909.51,1881.63,1908.73
Detached house,Four plus bed,"Churchtown, Dublin 14",0,0,0,0,0,0,0,0
Detached house,Four plus bed,"Clonskeagh, Dublin 14",0,0,0,0,0,0,0,0
Detached house,Four plus bed,"Dundrum, Dublin 14",0,0,0,0,0,0,0,0
Detached house,Four plus bed,"Goatstown, Dublin 14",0,0,0,0,0,0,0,0
Detached house,Four plus bed,"Rathfarnham, Dublin 14",0,0,0,0,0,0,0,0
Detached house,Four plus bed,Dublin 15,1414.4,1348.22,1276.69,1262.83,1240.22,1251.55,1286.24,1375.73
Detached house,Four plus bed,"Ashtown, Dublin 15",0,0,0,0,0,0,0,0
Detached house,Four plus bed,"Blanchardstown, Dublin 15",0,0,0,0,0,0,0,0
Detached house,Four plus bed,"Carpenterstown, Dublin 15",0,0,0,0,0,0,0,0
Detached house,Four plus bed,"Castleknock, Dublin 15",0,0,1388.33,1393.59,1312.27,0,0,0
Detached house,Four plus bed,"Clonee, Dublin 15",0,0,0,0,0,0,0,0
Detached house,Four plus bed,"Clonsilla, Dublin 15",0,0,0,0,0,0,0,0
Detached house,Four plus bed,"Coolmine, Dublin 15",0,0,0,0,0,0,0,0
Detached house,Four plus bed,"Mulhuddart, Dublin 15",0,0,0,0,0,0,0,0
Detached house,Four plus bed,"Ongar, Dublin 15",0,0,0,0,0,0,0,0
Detached house,Four plus bed,"Porterstown, Dublin 15",0,0,0,0,0,0,0,0
Detached house,Four plus bed,"Royal Canal Park, Dublin 15",0,0,0,0,0,0,0,0
Detached house,Four plus bed,"Tyrrelstown, Dublin 15",0,0,0,0,0,0,0,0
Detached house,Four plus bed,Dublin 16,0,1580,1504.78,1468.59,1485.95,1572.93,1628.29,0
Detached house,Four plus bed,"Ballinteer, Dublin 16",0,0,0,0,0,0,0,0
Detached house,Four plus bed,"Dundrum, Dublin 16",0,0,0,0,0,0,0,0
Detached house,Four plus bed,"Knocklyon, Dublin 16",0,0,0,0,0,0,0,0
Detached house,Four plus bed,"Rathfarnham, Dublin 16",0,0,0,0,0,0,0,0
Detached house,Four plus bed,"Sandyford, Dublin 16",0,0,0,0,0,0,0,0
Detached house,Four plus bed,Dublin 17,0,0,0,0,0,0,0,0
Detached house,Four plus bed,"Malahide Road, Dublin 17",0,0,0,0,0,0,0,0
Detached house,Four plus bed,"Northern Cross, Dublin 17",0,0,0,0,0,0,0,0
Detached house,Four plus bed,Dublin 18,2212.32,2116.9,2042.85,2011.42,2066.84,2104.83,2118.6,2192.41
Detached house,Four plus bed,"Cabinteely, Dublin 18",0,0,0,0,0,0,0,0
Detached house,Four plus bed,"Carrickmines, Dublin 18",0,0,0,0,0,0,0,0
Detached house,Four plus bed,"Foxrock, Dublin 18",0,2159.09,2141.33,2087.82,2145.76,0,0,0
Detached house,Four plus bed,"Leopardstown, Dublin 18",0,0,0,0,0,0,0,0
Detached house,Four plus bed,"Sandyford, Dublin 18",0,0,0,0,0,0,0,0
Detached house,Four plus bed,"Stepaside, Dublin 18",0,0,0,0,0,0,0,0
Detached house,Four plus bed,Dublin 20,0,0,0,0,0,0,0,0
Detached house,Four plus bed,"Chapelizod, Dublin 20",0,0,0,0,0,0,0,0
Detached house,Four plus bed,"Palmerstown, Dublin 20",0,0,0,0,0,0,0,0
Detached house,Four plus bed,"Clondalkin, Dublin 22",0,0,0,0,0,0,0,0
Detached house,Four plus bed,Dublin 24,0,0,0,0,0,0,0,0
Detached house,Four plus bed,"Ballycullen, Dublin 24",0,0,0,0,0,0,0,0
Detached house,Four plus bed,"Citywest, Dublin 24",0,0,0,0,0,0,0,0
Detached house,Four plus bed,"Firhouse, Dublin 24",0,0,0,0,0,0,0,0
Detached house,Four plus bed,"Tallaght, Dublin 24",0,0,0,0,0,0,0,0
Semi detached house,Two bed,Dublin,1197.93,1116.96,1003.9,956.7,960.95,997.35,1043.3,1103.26
Semi detached house,Two bed,"Balbriggan, Dublin",1011.81,918.17,795.42,739.08,733,741.21,770.23,820.91
Semi detached house,Two bed,"Blackrock, Dublin",1360.1,1262.3,1120.19,1103.88,1045.83,1112.4,1230,0
Semi detached house,Two bed,"Booterstown, Dublin",0,0,0,0,0,0,0,0
Semi detached house,Two bed,"Cabinteely, Dublin",0,0,0,0,0,0,0,0
Semi detached house,Two bed,"Citywest, Dublin",0,0,0,0,0,0,0,0
Semi detached house,Two bed,"Dalkey, Dublin",0,0,0,0,0,0,0,0
Semi detached house,Two bed,"Donabate, Dublin",0,0,0,0,0,0,0,0
Semi detached house,Two bed,"Dun Laoghaire, Dublin",0,0,0,0,0,0,0,0
Semi detached house,Two bed,"Glenageary, Dublin",0,0,0,0,0,0,0,0
Semi detached house,Two bed,"Howth, Dublin",0,0,0,0,0,0,0,0
Semi detached house,Two bed,"Killiney, Dublin",0,0,0,0,0,0,0,0
Semi detached house,Two bed,"Kinsealy, Dublin",0,0,0,0,0,0,0,0
Semi detached house,Two bed,"Lucan, Dublin",1064.66,1022.76,941.3,920.98,924.36,964.05,0,0
Semi detached house,Two bed,"Lusk, Dublin",0,0,0,0,0,0,0,0
Semi detached house,Two bed,"Malahide, Dublin",0,0,0,0,0,0,0,0
Semi detached house,Two bed,"Monkstown, Dublin",0,1178.31,0,0,0,0,0,0
Semi detached house,Two bed,"Mount Merrion, Dublin",0,0,0,0,0,0,0,0
Semi detached house,Two bed,"Portmarnock, Dublin",0,0,0,0,0,0,0,0
Semi detached house,Two bed,"Rathcoole, Dublin",0,0,0,0,0,0,0,0
Semi detached house,Two bed,"Rush, Dublin",0,0,0,0,0,0,0,0
Semi detached house,Two bed,"Saggart, Dublin",0,0,0,0,0,0,0,0
Semi detached house,Two bed,"Sandycove, Dublin",0,0,0,0,0,0,0,0
Semi detached house,Two bed,"Shankill, Dublin",0,0,0,0,0,0,0,0
Semi detached house,Two bed,"Skerries, Dublin",0,0,0,0,0,0,0,0
Semi detached house,Two bed,"Stepaside, Dublin",0,0,0,0,0,0,0,0
Semi detached house,Two bed,"Stillorgan, Dublin",0,0,0,0,0,0,0,0
Semi detached house,Two bed,"Swords, Dublin",1119.53,1059.88,932.14,843.84,0,0,0,0
Semi detached house,Two bed,Dublin 1,0,1164.17,0,0,0,0,0,0
Semi detached house,Two bed,"I.F.S.C., Dublin 1",0,0,0,0,0,0,0,0
Semi detached house,Two bed,"Parnell Street, Dublin 1",0,0,0,0,0,0,0,0
Semi detached house,Two bed,"Spencer Dock, Dublin 1",0,0,0,0,0,0,0,0
Semi detached house,Two bed,"Summerhill, Dublin 1",0,0,0,0,0,0,0,0
Semi detached house,Two bed,Dublin 2,0,0,0,0,0,0,0,0
Semi detached house,Two bed,"Aungier Street, Dublin 2",0,0,0,0,0,0,0,0
Semi detached house,Two bed,"Charlemont Street, Dublin 2",0,0,0,0,0,0,0,0
Semi detached house,Two bed,"Grand Canal Dock, Dublin 2",0,0,0,0,0,0,0,0
Semi detached house,Two bed,"Grand Canal Square, Dublin 2",0,0,0,0,0,0,0,0
Semi detached house,Two bed,"Hanover Quay, Dublin 2",0,0,0,0,0,0,0,0
Semi detached house,Two bed,"Lower Mount Street, Dublin 2",0,0,0,0,0,0,0,0
Semi detached house,Two bed,"Pearse Street, Dublin 2",0,0,0,0,0,0,0,0
Semi detached house,Two bed,"Tara Street, Dublin 2",0,0,0,0,0,0,0,0
Semi detached house,Two bed,"Temple Bar, Dublin 2",0,0,0,0,0,0,0,0
Semi detached house,Two bed,"Townsend Street, Dublin 2",0,0,0,0,0,0,0,0
Semi detached house,Two bed,Dublin 3,1260.31,1142.01,1018.12,947.05,958.63,1015.1,1086.11,1225.77
Semi detached house,Two bed,"Clonliffe, Dublin 3",0,0,0,0,0,0,0,0
Semi detached house,Two bed,"Clontarf, Dublin 3",0,0,0,0,0,0,0,0
Semi detached house,Two bed,"Drumcondra, Dublin 3",0,0,0,0,0,0,0,0
Semi detached house,Two bed,"East Wall, Dublin 3",0,1105.65,956.38,0,0,0,1019.17,0
Semi detached house,Two bed,"Eastwall, Dublin 3",0,0,0,0,0,0,0,0
Semi detached house,Two bed,"Fairview, Dublin 3",0,0,0,0,0,0,0,0
Semi detached house,Two bed,"Marino, Dublin 3",0,0,0,0,0,0,0,0
Semi detached house,Two bed,"North Strand, Dublin 3",0,0,0,0,0,0,0,0
Semi detached house,Two bed,Dublin 4,1618.35,1495.94,1363.09,1335.94,1375.04,1424.34,1478.45,1609.69
Semi detached house,Two bed,"Ballsbridge, Dublin 4",0,1611.11,1472.92,1414.06,1428.75,1506.71,1575.81,1660.29
Semi detached house,Two bed,"Donnybrook, Dublin 4",0,0,1373.33,0,0,0,0,0
Semi detached house,Two bed,"Irishtown, Dublin 4",0,0,0,0,0,0,0,0
Semi detached house,Two bed,"Merrion, Dublin 4",0,0,0,0,0,0,0,0
Semi detached house,Two bed,"Pembroke, Dublin 4",0,0,0,0,0,0,0,0
Semi detached house,Two bed,"Ringsend, Dublin 4",0,0,0,0,0,0,0,0
Semi detached house,Two bed,"Sandymount, Dublin 4",0,0,0,0,0,0,0,0
Semi detached house,Two bed,Dublin 5,1218.83,1145.21,994.96,957.84,909.22,948.44,1042.05,1098.67
Semi detached house,Two bed,"Artane, Dublin 5",0,0,0,0,0,0,0,0
Semi detached house,Two bed,"Killester, Dublin 5",0,0,0,0,0,0,0,0
Semi detached house,Two bed,"Raheny, Dublin 5",0,0,0,0,0,0,0,0
Semi detached house,Two bed,Dublin 6,1293.93,1233.01,1167.5,1122.73,1141.99,1217.33,1258.27,1376.1
Semi detached house,Two bed,"Dartry, Dublin 6",0,0,0,0,0,0,0,0
Semi detached house,Two bed,"Harolds Cross, Dublin 6",0,0,0,0,0,0,0,0
Semi detached house,Two bed,"Milltown, Dublin 6",0,0,0,0,0,0,0,0
Semi detached house,Two bed,"Ranelagh, Dublin 6",0,1350.27,1329.2,0,0,0,0,0
Semi detached house,Two bed,"Rathgar, Dublin 6",0,0,0,0,0,0,0,0
Semi detached house,Two bed,"Rathmines, Dublin 6",1251.25,1149.96,1081.96,0,0,0,0,0
Semi detached house,Two bed,"Terenure, Dublin 6",0,0,0,0,0,0,0,0
Semi detached house,Two bed,Dublin 6W,0,0,0,0,0,0,0,0
Semi detached house,Two bed,"Harolds Cross, Dublin 6W",0,0,0,0,0,0,0,0
Semi detached house,Two bed,"Templeogue, Dublin 6W",0,0,0,0,0,0,0,0
Semi detached house,Two bed,"Terenure, Dublin 6W",0,0,0,0,0,0,0,0
Semi detached house,Two bed,Dublin 7,1167.22,1059.95,969.09,957.8,958.6,982.57,1046.74,1136.04
Semi detached house,Two bed,"Arbour Hill, Dublin 7",0,0,0,0,0,0,0,0
Semi detached house,Two bed,"Cabra, Dublin 7",0,1083.13,972.16,945.82,927.84,965.84,1030,1099.88
Semi detached house,Two bed,"Navan Road, Dublin 7",0,0,0,0,0,0,0,0
Semi detached house,Two bed,"North Circular Road, Dublin 7",0,0,0,0,0,0,0,0
Semi detached house,Two bed,"Phibsboro, Dublin 7",0,0,0,0,0,0,0,0
Semi detached house,Two bed,"Smithfield, Dublin 7",0,0,0,0,0,0,0,0
Semi detached house,Two bed,"Stoneybatter, Dublin 7",0,0,0,0,0,0,0,0
Semi detached house,Two bed,Dublin 8,1262.6,1146.05,1069.57,1045.68,1045.09,1054.79,1123.78,1194.39
Semi detached house,Two bed,"Christchurch, Dublin 8",0,0,0,0,0,0,0,0
Semi detached house,Two bed,"Cork Street, Dublin 8",0,0,0,0,0,0,0,0
Semi detached house,Two bed,"Dolphins Barn, Dublin 8",0,0,0,0,0,0,0,0
Semi detached house,Two bed,"Inchicore, Dublin 8",0,0,0,0,0,0,0,0
Semi detached house,Two bed,"Islandbridge, Dublin 8",0,0,0,0,0,0,0,0
Semi detached house,Two bed,"Kilmainham , Dublin 8",0,0,0,0,0,0,0,0
Semi detached house,Two bed,"Portobello, Dublin 8",0,0,0,0,0,0,0,0
Semi detached house,Two bed,"Rialto, Dublin 8",0,0,0,0,0,0,0,0
Semi detached house,Two bed,"South Circular Road, Dublin 8",0,0,0,0,0,0,0,0
Semi detached house,Two bed,"The Coombe, Dublin 8",0,0,0,0,0,0,0,0
Semi detached house,Two bed,Dublin 9,1195.62,1095.71,1005.32,1032.83,1010.07,981.44,1008.92,1120.41
Semi detached house,Two bed,"Ballymun, Dublin 9",0,0,0,0,0,0,0,0
Semi detached house,Two bed,"Beaumont, Dublin 9",0,0,0,0,0,0,0,0
Semi detached house,Two bed,"Drumcondra, Dublin 9",0,1092.98,0,0,0,993.5,0,0
Semi detached house,Two bed,"Glasnevin, Dublin 9",0,0,0,0,0,0,0,0
Semi detached house,Two bed,"Santry, Dublin 9",0,0,0,0,0,0,0,0
Semi detached house,Two bed,"Whitehall, Dublin 9",0,0,0,0,0,0,0,0
Semi detached house,Two bed,Dublin 10,0,1032.36,953.28,0,0,903.83,0,0
Semi detached house,Two bed,"Ballyfermot, Dublin 10",0,0,952.66,0,0,0,0,0
Semi detached house,Two bed,"Cherry Orchard, Dublin 10",0,0,0,0,0,0,0,0
Semi detached house,Two bed,Dublin 11,0,1051.34,938.38,895.45,890.62,897.74,927.71,975.4
Semi detached house,Two bed,"Ballymun, Dublin 11",0,0,0,0,0,0,0,0
Semi detached house,Two bed,"Finglas, Dublin 11",0,0,898.49,869.81,854.99,847.99,890.86,942.41
Semi detached house,Two bed,"Glasnevin, Dublin 11",0,0,0,0,0,0,0,0
Semi detached house,Two bed,"Meakstown, Dublin 11",0,0,0,0,0,0,0,0
Semi detached house,Two bed,"St Margarets Road, Dublin 11",0,0,0,0,0,0,0,0
Semi detached house,Two bed,Dublin 12,1213.41,1092.6,974.37,944.06,950.27,958.96,1012.74,1115.94
Semi detached house,Two bed,"Crumlin, Dublin 12",0,1078.37,937.95,922.55,938.15,949.13,941.62,0
Semi detached house,Two bed,"Drimnagh, Dublin 12",0,0,998.13,950.09,945.42,951.51,963.64,1076.62
Semi detached house,Two bed,"Kimmage, Dublin 12",0,0,0,0,0,0,0,0
Semi detached house,Two bed,"Walkinstown, Dublin 12",0,0,0,0,0,0,0,0
Semi detached house,Two bed,Dublin 13,0,1077.67,1005.59,0,0,0,0,0
Semi detached house,Two bed,"Baldoyle, Dublin 13",0,0,0,0,0,0,0,0
Semi detached house,Two bed,"Balgriffin, Dublin 13",0,0,0,0,0,0,0,0
Semi detached house,Two bed,"Clongriffin, Dublin 13",0,0,0,0,0,0,0,0
Semi detached house,Two bed,"Donaghmede, Dublin 13",0,0,0,0,0,0,0,0
Semi detached house,Two bed,"Sutton, Dublin 13",0,0,0,0,0,0,0,0
Semi detached house,Two bed,Dublin 14,1318.23,1207.98,1108.75,1089,1103.1,1139.97,1214.7,1288.72
Semi detached house,Two bed,"Churchtown, Dublin 14",0,0,0,0,0,0,0,0
Semi detached house,Two bed,"Clonskeagh, Dublin 14",0,0,0,0,0,0,0,0
Semi detached house,Two bed,"Dundrum, Dublin 14",0,0,0,0,0,0,0,0
Semi detached house,Two bed,"Goatstown, Dublin 14",0,0,0,0,0,0,0,0
Semi detached house,Two bed,"Rathfarnham, Dublin 14",0,0,0,0,0,0,0,0
Semi detached house,Two bed,Dublin 15,1156.17,1046.84,902.27,890.94,900.83,913.45,962.56,1075.14
Semi detached house,Two bed,"Ashtown, Dublin 15",0,0,0,0,0,0,0,0
Semi detached house,Two bed,"Blanchardstown, Dublin 15",0,0,0,0,0,0,0,0
Semi detached house,Two bed,"Carpenterstown, Dublin 15",0,0,0,0,0,0,0,0
Semi detached house,Two bed,"Castleknock, Dublin 15",0,0,0,0,0,0,0,0
Semi detached house,Two bed,"Clonee, Dublin 15",0,0,0,0,0,0,0,0
Semi detached house,Two bed,"Clonsilla, Dublin 15",0,0,0,0,0,0,0,0
Semi detached house,Two bed,"Coolmine, Dublin 15",0,0,0,0,0,0,0,0
Semi detached house,Two bed,"Mulhuddart, Dublin 15",0,0,0,0,0,0,0,0
Semi detached house,Two bed,"Ongar, Dublin 15",0,0,0,0,0,0,0,0
Semi detached house,Two bed,"Porterstown, Dublin 15",0,0,0,0,0,0,0,0
Semi detached house,Two bed,"Royal Canal Park, Dublin 15",0,0,0,0,0,0,0,0
Semi detached house,Two bed,"Tyrrelstown, Dublin 15",0,0,0,0,0,0,0,0
Semi detached house,Two bed,Dublin 16,1282.48,1197.14,1070.81,0,0,0,0,0
Semi detached house,Two bed,"Ballinteer, Dublin 16",0,0,0,0,0,0,0,0
Semi detached house,Two bed,"Dundrum, Dublin 16",0,0,0,0,0,0,0,0
Semi detached house,Two bed,"Knocklyon, Dublin 16",0,0,0,0,0,0,0,0
Semi detached house,Two bed,"Rathfarnham, Dublin 16",0,0,0,0,0,0,0,0
Semi detached house,Two bed,"Sandyford, Dublin 16",0,0,0,0,0,0,0,0
Semi detached house,Two bed,Dublin 17,0,0,0,0,0,0,0,0
Semi detached house,Two bed,"Malahide Road, Dublin 17",0,0,0,0,0,0,0,0
Semi detached house,Two bed,"Northern Cross, Dublin 17",0,0,0,0,0,0,0,0
Semi detached house,Two bed,Dublin 18,0,0,0,0,0,0,0,0
Semi detached house,Two bed,"Cabinteely, Dublin 18",0,0,0,0,0,0,0,0
Semi detached house,Two bed,"Carrickmines, Dublin 18",0,0,0,0,0,0,0,0
Semi detached house,Two bed,"Foxrock, Dublin 18",0,0,0,0,0,0,0,0
Semi detached house,Two bed,"Leopardstown, Dublin 18",0,0,0,0,0,0,0,0
Semi detached house,Two bed,"Sandyford, Dublin 18",0,0,0,0,0,0,0,0
Semi detached house,Two bed,"Stepaside, Dublin 18",0,0,0,0,0,0,0,0
Semi detached house,Two bed,Dublin 20,0,0,0,0,0,0,0,0
Semi detached house,Two bed,"Chapelizod, Dublin 20",0,0,0,0,0,0,0,0
Semi detached house,Two bed,"Palmerstown, Dublin 20",0,0,0,0,0,0,0,0
Semi detached house,Two bed,"Clondalkin, Dublin 22",0,1018.13,901.07,808.16,0,0,0,0
Semi detached house,Two bed,Dublin 24,1114.81,1027.97,943.12,878.41,870.23,853.46,899.06,995.32
Semi detached house,Two bed,"Ballycullen, Dublin 24",0,0,0,0,0,0,0,0
Semi detached house,Two bed,"Citywest, Dublin 24",0,0,0,0,0,0,0,0
Semi detached house,Two bed,"Firhouse, Dublin 24",0,0,0,0,0,0,0,0
Semi detached house,Two bed,"Tallaght, Dublin 24",1085.48,996.67,922,0,0,0,893.48,965.63
Semi detached house,Three bed,Dublin,1306.57,1210.05,1095.28,1065.33,1071.2,1086.45,1127.22,1206.95
Semi detached house,Three bed,"Balbriggan, Dublin",1140.27,1035.53,914.83,879.32,864.93,871.3,895.16,942.24
Semi detached house,Three bed,"Blackrock, Dublin",1620.92,1442.16,1339.8,1377.23,1440.48,1453.85,1466.19,1550.57
Semi detached house,Three bed,"Booterstown, Dublin",0,0,0,0,0,0,0,0
Semi detached house,Three bed,"Cabinteely, Dublin",0,0,0,0,0,0,0,0
Semi detached house,Three bed,"Citywest, Dublin",0,0,0,0,0,0,0,0
Semi detached house,Three bed,"Dalkey, Dublin",0,0,0,0,0,0,0,0
Semi detached house,Three bed,"Donabate, Dublin",0,1149.19,1034.03,0,0,1031.88,1055,0
Semi detached house,Three bed,"Dun Laoghaire, Dublin",1449.32,1399.75,1297.15,1263.58,1245.91,1269.82,1363.63,1449.34
Semi detached house,Three bed,"Glenageary, Dublin",0,0,0,0,0,0,0,0
Semi detached house,Three bed,"Howth, Dublin",0,0,0,0,0,0,0,0
Semi detached house,Three bed,"Killiney, Dublin",0,1279.91,1195.1,0,0,0,0,0
Semi detached house,Three bed,"Kinsealy, Dublin",0,1189.14,1031.39,989.29,0,0,0,0
Semi detached house,Three bed,"Lucan, Dublin",1228.01,1138.62,1030.04,996.47,1003.84,1015.54,1047.45,1118.52
Semi detached house,Three bed,"Lusk, Dublin",1137.74,1066.36,982.34,956.98,945.45,947.42,1035.79,1077.62
Semi detached house,Three bed,"Malahide, Dublin",1447.04,1374.29,1295.58,1252.11,1249.6,1323.86,1355.35,1393.6
Semi detached house,Three bed,"Monkstown, Dublin",0,0,0,0,0,0,0,0
Semi detached house,Three bed,"Mount Merrion, Dublin",0,0,0,0,0,0,0,0
Semi detached house,Three bed,"Portmarnock, Dublin",0,0,0,0,0,0,0,0
Semi detached house,Three bed,"Rathcoole, Dublin",0,0,0,0,0,0,0,0
Semi detached house,Three bed,"Rush, Dublin",1159.14,1047.8,947.9,891.43,891.38,892.91,915.95,997.92
Semi detached house,Three bed,"Saggart, Dublin",0,0,0,0,0,0,1098.86,1154.71
Semi detached house,Three bed,"Sandycove, Dublin",0,0,0,0,0,0,0,0
Semi detached house,Three bed,"Shankill, Dublin",0,1238.44,1140.47,1122.25,1107.06,1156.36,1226.88,1256.82
Semi detached house,Three bed,"Skerries, Dublin",1134.19,1083.13,994.52,966.67,936.72,978.46,1036.36,1106.08
Semi detached house,Three bed,"Stepaside, Dublin",0,0,0,0,0,0,0,0
Semi detached house,Three bed,"Stillorgan, Dublin",1549.26,1428.04,1318.69,1344.15,1335.73,1393.59,1453.79,1556.57
Semi detached house,Three bed,"Swords, Dublin",1258.72,1151.99,1037,992.71,1008.01,1015.1,1065.05,1127.08
Semi detached house,Three bed,Dublin 1,1251.43,1172.41,1096.46,0,0,0,0,0
Semi detached house,Three bed,"I.F.S.C., Dublin 1",0,0,0,0,0,0,0,0
Semi detached house,Three bed,"Parnell Street, Dublin 1",0,0,0,0,0,0,0,0
Semi detached house,Three bed,"Spencer Dock, Dublin 1",0,0,0,0,0,0,0,0
Semi detached house,Three bed,"Summerhill, Dublin 1",0,0,0,0,0,0,0,0
Semi detached house,Three bed,Dublin 2,0,0,0,0,0,0,0,0
Semi detached house,Three bed,"Aungier Street, Dublin 2",0,0,0,0,0,0,0,0
Semi detached house,Three bed,"Charlemont Street, Dublin 2",0,0,0,0,0,0,0,0
Semi detached house,Three bed,"Grand Canal Dock, Dublin 2",0,0,0,0,0,0,0,0
Semi detached house,Three bed,"Grand Canal Square, Dublin 2",0,0,0,0,0,0,0,0
Semi detached house,Three bed,"Hanover Quay, Dublin 2",0,0,0,0,0,0,0,0
Semi detached house,Three bed,"Lower Mount Street, Dublin 2",0,0,0,0,0,0,0,0
Semi detached house,Three bed,"Pearse Street, Dublin 2",0,0,0,0,0,0,0,0
Semi detached house,Three bed,"Tara Street, Dublin 2",0,0,0,0,0,0,0,0
Semi detached house,Three bed,"Temple Bar, Dublin 2",0,0,0,0,0,0,0,0
