PropertyType,NumberofRoom,Location,2008,2009,2010,2011,2012,2013,2014,2015
Detached house,Two bed,"Navan Road, Dublin 7",0,0,0,0,0,0,0,0
Detached house,Two bed,"North Circular Road, Dublin 7",0,0,0,0,0,0,0,0
Detached house,Two bed,"Phibsboro, Dublin 7",0,0,0,0,0,0,0,0
Detached house,Two bed,"Smithfield, Dublin 7",0,0,0,0,0,0,0,0
Detached house,Two bed,"Stoneybatter, Dublin 7",0,0,0,0,0,0,0,0
Detached house,Two bed,Dublin 8,0,0,0,0,0,0,0,0
Detached house,Two bed,"Christchurch, Dublin 8",0,0,0,0,0,0,0,0
Detached house,Two bed,"Cork Street, Dublin 8",0,0,0,0,0,0,0,0
Detached house,Two bed,"Dolphins Barn, Dublin 8",0,0,0,0,0,0,0,0
Detached house,Two bed,"Inchicore, Dublin 8",0,0,0,0,0,0,0,0
Detached house,Two bed,"Islandbridge, Dublin 8",0,0,0,0,0,0,0,0
Detached house,Two bed,"Kilmainham , Dublin 8",0,0,0,0,0,0,0,0
Detached house,Two bed,"Portobello, Dublin 8",0,0,0,0,0,0,0,0
Detached house,Two bed,"Rialto, Dublin 8",0,0,0,0,0,0,0,0
Detached house,Two bed,"South Circular Road, Dublin 8",0,0,0,0,0,0,0,0
Detached house,Two bed,"The Coombe, Dublin 8",0,0,0,0,0,0,0,0
Detached house,Two bed,Dublin 9,0,0,0,0,0,0,0,0
Detached house,Two bed,"Ballymun, Dublin 9",0,0,0,0,0,0,0,0
Detached house,Two bed,"Beaumont, Dublin 9",0,0,0,0,0,0,0,0
Detached house,Two bed,"Drumcondra, Dublin 9",0,0,0,0,0,0,0,0
Detached house,Two bed,"Glasnevin, Dublin 9",0,0,0,0,0,0,0,0
Detached house,Two bed,"Santry, Dublin 9",0,0,0,0,0,0,0,0
Detached house,Two bed,"Whitehall, Dublin 9",0,0,0,0,0,0,0,0
Detached house,Two bed,Dublin 10,0,0,0,0,0,0,0,0
Detached house,Two bed,"Ballyfermot, Dublin 10",0,0,0,0,0,0,0,0
Detached house,Two bed,"Cherry Orchard, Dublin 10",0,0,0,0,0,0,0,0
Detached house,Two bed,Dublin 11,0,0,0,0,0,0,0,0
Detached house,Two bed,"Ballymun, Dublin 11",0,0,0,0,0,0,0,0
Detached house,Two bed,"Finglas, Dublin 11",0,0,0,0,0,0,0,0
Detached house,Two bed,"Glasnevin, Dublin 11",0,0,0,0,0,0,0,0
Detached house,Two bed,"Meakstown, Dublin 11",0,0,0,0,0,0,0,0
Detached house,Two bed,"St Margarets Road, Dublin 11",0,0,0,0,0,0,0,0
Detached house,Two bed,Dublin 12,0,0,0,0,0,0,0,0
Detached house,Two bed,"Crumlin, Dublin 12",0,0,0,0,0,0,0,0
Detached house,Two bed,"Drimnagh, Dublin 12",0,0,0,0,0,0,0,0
Detached house,Two bed,"Kimmage, Dublin 12",0,0,0,0,0,0,0,0
Detached house,Two bed,"Walkinstown, Dublin 12",0,0,0,0,0,0,0,0
Detached house,Two bed,Dublin 13,0,0,0,0,0,0,0,0
Detached house,Two bed,"Baldoyle, Dublin 13",0,0,0,0,0,0,0,0
Detached house,Two bed,"Balgriffin, Dublin 13",0,0,0,0,0,0,0,0
Detached house,Two bed,"Clongriffin, Dublin 13",0,0,0,0,0,0,0,0
Detached house,Two bed,"Donaghmede, Dublin 13",0,0,0,0,0,0,0,0
Detached house,Two bed,"Sutton, Dublin 13",0,0,0,0,0,0,0,0
Detached house,Two bed,Dublin 14,0,0,0,0,0,0,0,0
Detached house,Two bed,"Churchtown, Dublin 14",0,0,0,0,0,0,0,0
Detached house,Two bed,"Clonskeagh, Dublin 14",0,0,0,0,0,0,0,0
Detached house,Two bed,"Dundrum, Dublin 14",0,0,0,0,0,0,0,0
Detached house,Two bed,"Goatstown, Dublin 14",0,0,0,0,0,0,0,0
Detached house,Two bed,"Rathfarnham, Dublin 14",0,0,0,0,0,0,0,0
Detached house,Two bed,Dublin 15,0,0,0,0,0,0,0,0
Detached house,Two bed,"Ashtown, Dublin 15",0,0,0,0,0,0,0,0
Detached house,Two bed,"Blanchardstown, Dublin 15",0,0,0,0,0,0,0,0
Detached house,Two bed,"Carpenterstown, Dublin 15",0,0,0,0,0,0,0,0
Detached house,Two bed,"Castleknock, Dublin 15",0,0,0,0,0,0,0,0
Detached house,Two bed,"Clonee, Dublin 15",0,0,0,0,0,0,0,0
Detached house,Two bed,"Clonsilla, Dublin 15",0,0,0,0,0,0,0,0
Detached house,Two bed,"Coolmine, Dublin 15",0,0,0,0,0,0,0,0
Detached house,Two bed,"Mulhuddart, Dublin 15",0,0,0,0,0,0,0,0
Detached house,Two bed,"Ongar, Dublin 15",0,0,0,0,0,0,0,0
Detached house,Two bed,"Porterstown, Dublin 15",0,0,0,0,0,0,0,0
Detached house,Two bed,"Royal Canal Park, Dublin 15",0,0,0,0,0,0,0,0
Detached house,Two bed,"Tyrrelstown, Dublin 15",0,0,0,0,0,0,0,0
Detached house,Two bed,Dublin 16,0,0,0,0,0,0,0,0
Detached house,Two bed,"Ballinteer, Dublin 16",0,0,0,0,0,0,0,0
Detached house,Two bed,"Dundrum, Dublin 16",0,0,0,0,0,0,0,0
Detached house,Two bed,"Knocklyon, Dublin 16",0,0,0,0,0,0,0,0
Detached house,Two bed,"Rathfarnham, Dublin 16",0,0,0,0,0,0,0,0
Detached house,Two bed,"Sandyford, Dublin 16",0,0,0,0,0,0,0,0
Detached house,Two bed,Dublin 17,0,0,0,0,0,0,0,0
Detached house,Two bed,"Malahide Road, Dublin 17",0,0,0,0,0,0,0,0
Detached house,Two bed,"Northern Cross, Dublin 17",0,0,0,0,0,0,0,0
Detached house,Two bed,Dublin 18,0,0,0,0,0,0,0,0
Detached house,Two bed,"Cabinteely, Dublin 18",0,0,0,0,0,0,0,0
