Year,Location,PropertyType,NumberofBedrooms,VacancyRate,CPI,Price.Rent.Ratio,HousingStock,Rent
2008,"Carpenterstown, Dublin 15",Apartment,1 to 3 bed,0,47.33,123.4,1960000,1165.45
2008,"Carpenterstown, Dublin 15",Apartment,All bedrooms,0,47.33,123.4,1960000,1165.45
2008,"Carrickmines, Dublin 18",Apartment,All bedrooms,0,47.33,123.4,1960000,1403.41
2008,"Carrickmines, Dublin 18",Apartment,1 to 3 bed,0,47.33,123.4,1960000,1403.41
2008,"Castleknock, Dublin 15",Terrace house,All bedrooms,0,47.33,123.4,1960000,1207.96
2008,"Castleknock, Dublin 15",Apartment,Two bed,0,47.33,123.4,1960000,1289.18
2008,"Castleknock, Dublin 15",Apartment,All bedrooms,0,47.33,123.4,1960000,1289.18
2008,"Castleknock, Dublin 15",Semi detached house,All bedrooms,0,47.33,123.4,1960000,1298.33
2008,"Chapelizod, Dublin 20",Apartment,All bedrooms,0,47.33,123.4,1960000,1166.46
2008,"Charlemont Street, Dublin 2",Apartment,All bedrooms,0,47.33,123.4,1960000,1499.22
2008,"Charlemont Street, Dublin 2",Apartment,1 to 3 bed,0,47.33,123.4,1960000,1499.22
2008,"Christchurch, Dublin 8",Apartment,All bedrooms,0,47.33,123.4,1960000,1195.86
2008,"Churchtown, Dublin 14",Apartment,All bedrooms,0,47.33,123.4,1960000,1313.71
2008,"Churchtown, Dublin 14",Apartment,1 to 3 bed,0,47.33,123.4,1960000,1313.71
2008,"Churchtown, Dublin 14",Terrace house,All bedrooms,0,47.33,123.4,1960000,1524.86
2008,"Churchtown, Dublin 14",Semi detached house,All bedrooms,0,47.33,123.4,1960000,1724.48
2008,"Citywest, Dublin 24",Apartment,1 to 3 bed,0,47.33,123.4,1960000,1101.71
2008,"Citywest, Dublin 24",Apartment,All bedrooms,0,47.33,123.4,1960000,1101.71
2008,"Citywest, Dublin",Apartment,1 to 3 bed,0,47.33,123.4,1960000,1177.71
2008,"Citywest, Dublin",Apartment,All bedrooms,0,47.33,123.4,1960000,1177.71
2008,"Clondalkin, Dublin 22",Apartment,All bedrooms,0,47.33,123.4,1960000,1080.59
2008,"Clondalkin, Dublin 22",Terrace house,All bedrooms,0,47.33,123.4,1960000,1153.08
2008,"Clondalkin, Dublin 22",Semi detached house,All bedrooms,0,47.33,123.4,1960000,1182.13
2008,"Clonee, Dublin 15",Apartment,All bedrooms,0,47.33,123.4,1960000,1063.58
2008,"Clonee, Dublin 15",Terrace house,All bedrooms,0,47.33,123.4,1960000,1119.34
2008,"Clonee, Dublin 15",Semi detached house,All bedrooms,0,47.33,123.4,1960000,1233.29
2008,"Clongriffin, Dublin 13",Apartment,All bedrooms,0,47.33,123.4,1960000,1175.82
2008,"Clonsilla, Dublin 15",Apartment,All bedrooms,0,47.33,123.4,1960000,1095.24
2008,"Clonsilla, Dublin 15",Terrace house,All bedrooms,0,47.33,123.4,1960000,1127.95
2008,"Clonsilla, Dublin 15",Semi detached house,All bedrooms,0,47.33,123.4,1960000,1286.55
2008,"Clonskeagh, Dublin 14",Apartment,All bedrooms,0,47.33,123.4,1960000,1471.26
2008,"Clonskeagh, Dublin 14",Semi detached house,All bedrooms,0,47.33,123.4,1960000,1800.38
2008,"Clontarf, Dublin 3",Apartment,1 to 3 bed,0,47.33,123.4,1960000,1256.16
2008,"Clontarf, Dublin 3",Apartment,All bedrooms,0,47.33,123.4,1960000,1256.16
2008,"Clontarf, Dublin 3",Terrace house,All bedrooms,0,47.33,123.4,1960000,1456.73
2008,"Clontarf, Dublin 3",Semi detached house,All bedrooms,0,47.33,123.4,1960000,1484.82
2008,"Clontarf, Dublin 3",Other flats,All bedrooms,0,47.33,123.4,1960000,680.26
2008,"Clontarf, Dublin 3",Other flats,1 to 3 bed,0,47.33,123.4,1960000,680.26
2008,"Clontarf, Dublin 3",Other flats,1 to 2 bed,0,47.33,123.4,1960000,680.26
2008,"Cork Street, Dublin 8",Apartment,1 to 3 bed,0,47.33,123.4,1960000,1282.1
2008,"Cork Street, Dublin 8",Apartment,All bedrooms,0,47.33,123.4,1960000,1282.1
2008,"Crumlin, Dublin 12",Apartment,All bedrooms,0,47.33,123.4,1960000,1113.08
2008,"Crumlin, Dublin 12",Apartment,1 to 3 bed,0,47.33,123.4,1960000,1113.08
2008,"Crumlin, Dublin 12",Terrace house,All bedrooms,0,47.33,123.4,1960000,1235
2008,"Crumlin, Dublin 12",Semi detached house,All bedrooms,0,47.33,123.4,1960000,1277.7
2008,"Dalkey, Dublin",Apartment,1 to 3 bed,0,47.33,123.4,1960000,1454.15
2008,"Dalkey, Dublin",Apartment,All bedrooms,0,47.33,123.4,1960000,1454.15
2008,"Dartry, Dublin 6",Apartment,All bedrooms,0,47.33,123.4,1960000,1345.91
2008,"Dolphins Barn, Dublin 8",Apartment,All bedrooms,0,47.33,123.4,1960000,1212.16
2008,"Dolphins Barn, Dublin 8",Apartment,1 to 3 bed,0,47.33,123.4,1960000,1212.16
2008,"Donabate, Dublin",Apartment,1 to 3 bed,0,47.33,123.4,1960000,1024.07
2008,"Donabate, Dublin",Apartment,All bedrooms,0,47.33,123.4,1960000,1024.07
2008,"Donabate, Dublin",Semi detached house,All bedrooms,0,47.33,123.4,1960000,1278.9
2008,"Donaghmede, Dublin 13",Apartment,All bedrooms,0,47.33,123.4,1960000,1175
2008,"Donaghmede, Dublin 13",Apartment,1 to 3 bed,0,47.33,123.4,1960000,1175
2008,"Donaghmede, Dublin 13",Apartment,1 to 2 bed,0,47.33,123.4,1960000,1175
2008,"Donaghmede, Dublin 13",Semi detached house,All bedrooms,0,47.33,123.4,1960000,1357.67
2008,"Donnybrook, Dublin 4",Apartment,All bedrooms,0,47.33,123.4,1960000,1480.5
2008,"Donnybrook, Dublin 4",Terrace house,All bedrooms,0,47.33,123.4,1960000,1725.14
2008,"Donnybrook, Dublin 4",Semi detached house,All bedrooms,0,47.33,123.4,1960000,1981.48
2008,"Donnybrook, Dublin 4",Other flats,All bedrooms,0,47.33,123.4,1960000,808.16
2008,"Donnybrook, Dublin 4",Other flats,1 to 2 bed,0,47.33,123.4,1960000,808.16
2008,"Donnybrook, Dublin 4",Other flats,1 to 3 bed,0,47.33,123.4,1960000,808.16
2008,"Drimnagh, Dublin 12",Semi detached house,All bedrooms,0,47.33,123.4,1960000,1284.34
2008,"Drimnagh, Dublin 12",Terrace house,All bedrooms,0,47.33,123.4,1960000,1294.48
2008,"Drimnagh, Dublin 12",Apartment,1 to 3 bed,0,47.33,123.4,1960000,1332.75
2008,"Drimnagh, Dublin 12",Apartment,All bedrooms,0,47.33,123.4,1960000,1332.75
2008,"Drumcondra, Dublin 9",Apartment,All bedrooms,0,47.33,123.4,1960000,1245.48
2008,"Drumcondra, Dublin 9",Semi detached house,All bedrooms,0,47.33,123.4,1960000,1397.65
2008,"Drumcondra, Dublin 9",Terrace house,All bedrooms,0,47.33,123.4,1960000,1412.89
2008,"Drumcondra, Dublin 9",Other flats,1 to 3 bed,0,47.33,123.4,1960000,670.55
2008,"Drumcondra, Dublin 9",Other flats,All bedrooms,0,47.33,123.4,1960000,670.55
2008,Dublin 1,Terrace house,All bedrooms,0,47.33,123.4,1960000,1157.3
2008,Dublin 1,Apartment,All bedrooms,0,47.33,123.4,1960000,1249.64
2008,Dublin 1,Semi detached house,All bedrooms,0,47.33,123.4,1960000,1260.92
2008,Dublin 1,Other flats,All bedrooms,0,47.33,123.4,1960000,768.98
2008,Dublin 10,Terrace house,All bedrooms,0,47.33,123.4,1960000,1084.97
2008,Dublin 10,Apartment,All bedrooms,0,47.33,123.4,1960000,1114.72
2008,Dublin 10,Apartment,1 to 3 bed,0,47.33,123.4,1960000,1114.72
2008,Dublin 10,Semi detached house,All bedrooms,0,47.33,123.4,1960000,1184.78
2008,Dublin 11,Apartment,All bedrooms,0,47.33,123.4,1960000,1119.42
2008,Dublin 11,Terrace house,All bedrooms,0,47.33,123.4,1960000,1233.23
2008,Dublin 11,Semi detached house,All bedrooms,0,47.33,123.4,1960000,1278.58
2008,Dublin 12,Apartment,1 to 3 bed,0,47.33,123.4,1960000,1240.56
2008,Dublin 12,Apartment,All bedrooms,0,47.33,123.4,1960000,1240.56
2008,Dublin 12,Terrace house,All bedrooms,0,47.33,123.4,1960000,1270.6
2008,Dublin 12,Semi detached house,All bedrooms,0,47.33,123.4,1960000,1304.45
2008,Dublin 12,Other flats,All bedrooms,0,47.33,123.4,1960000,696.71
